DataLabel,TP,TE1,TE2,TE3,TE4,Program Number,Batch Status
648,2.1093406593406594,122.12857142857143,122.31593406593409,122.27362637362636,122.28076923076922,16,1
649,2.1095054945054947,122.14890109890108,122.3175824175824,122.27307692307691,122.27857142857144,17,1
650,2.109516129032258,122.06129032258065,122.28709677419356,122.22096774193548,122.24838709677418,12,1
651,2.1092857142857144,122.13791208791208,122.31648351648352,122.27197802197804,122.27967032967032,16,1
652,2.1097252747252746,122.13131868131867,122.31703296703296,122.2714285714286,122.28241758241757,16,1
653,2.1094505494505493,122.07307692307693,122.31593406593409,122.26978021978022,122.27197802197804,16,1
654,2.1096774193548384,121.99032258064516,122.26451612903226,122.2290322580645,122.25161290322582,12,1
655,2.1093956043956044,122.15,122.31593406593409,122.2686813186813,122.28021978021978,17,1
656,2.1094505494505493,122.07527472527472,122.31648351648352,122.27197802197804,122.27307692307691,17,1
657,2.1093956043956044,122.07802197802198,122.30989010989012,122.27362637362636,122.27912087912088,16,1
658,2.1096774193548384,122.0548387096774,122.2741935483871,122.23225806451612,122.25161290322582,12,1
659,2.1094505494505493,122.16648351648352,122.2912087912088,122.26978021978022,122.27857142857144,17,1
660,2.1094505494505493,122.07692307692308,122.32087912087913,122.27197802197804,122.27692307692308,16,1
661,2.1093956043956044,122.14175824175824,122.29395604395604,122.26978021978022,122.27527472527473,16,1
662,2.109516129032258,122.03870967741936,122.2741935483871,122.23064516129033,122.24516129032256,12,1
663,0.08,19.7,19.7,19.8,19.8,1,0
664,2.1095054945054947,122.16373626373624,122.2923076923077,122.2653846153846,122.27747252747253,17,1
665,2.1090659340659337,122.13516483516484,122.31043956043956,122.26703296703296,122.27637362637364,16,1
666,2.109230769230769,122.06648351648352,122.28791208791208,122.25934065934068,122.27252747252749,16,1
667,2.109354838709677,122.0467741935484,122.26774193548388,122.22096774193548,122.2467741935484,12,1
668,2.0640659340659337,121.46263736263737,121.62307692307692,121.62032967032964,121.6131868131868,8,1
669,2.1093406593406594,122.07527472527472,122.2978021978022,122.26648351648352,122.27307692307691,17,1
670,2.1096703296703296,122.08131868131868,122.29615384615386,122.27362637362636,122.28076923076922,16,1
671,2.1093406593406594,122.07802197802198,122.2978021978022,122.27032967032967,122.27472527472528,17,1
672,2.1091935483870965,122.03870967741936,122.26451612903226,122.23387096774194,122.24516129032256,12,1
673,0.8971428571428571,77.32857142857142,93.3,92.5,92.4,17,0
674,2.1092857142857144,122.07857142857142,122.3010989010989,122.26978021978022,122.27857142857144,17,1
675,2.1093956043956044,122.07912087912086,122.2967032967033,122.2686813186813,122.2741758241758,17,1
676,2.1094505494505493,122.07417582417582,122.3021978021978,122.27142857142856,122.27912087912088,16,1
677,2.1093406593406594,122.07692307692308,122.30164835164835,122.26758241758242,122.27527472527473,16,1
678,2.1091935483870965,122.03709677419356,122.2516129032258,122.2258064516129,122.24032258064516,12,1
679,2.1094505494505493,122.07142857142856,122.33626373626376,122.27472527472528,122.28021978021978,16,1
680,2.10956043956044,122.16703296703298,122.2967032967033,122.27197802197804,122.27747252747253,17,1
681,2.10956043956044,122.08131868131868,122.28956043956045,122.27472527472528,122.28186813186812,16,1
682,2.1093406593406594,122.14615384615384,122.31373626373626,122.27472527472528,122.27857142857144,16,1
683,2.1096774193548384,122.05322580645162,122.2758064516129,122.23064516129033,122.25645161290322,12,1
684,2.1094505494505493,122.14010989010988,122.3,122.2653846153846,122.27912087912088,16,1
685,2.10956043956044,122.07802197802198,122.2967032967033,122.27307692307691,122.27637362637364,16,1
686,2.1094505494505493,122.1456043956044,122.30824175824176,122.26923076923076,122.27967032967032,16,1
687,2.1096774193548384,122.05,122.2741935483871,122.24354838709678,122.25806451612904,12,1
688,0.08,19.7,19.7,19.8,19.8,1,0
689,2.1092857142857144,122.06263736263736,122.27967032967032,122.26043956043956,122.27692307692308,16,1
690,2.10956043956044,122.07582417582417,122.29725274725274,122.27362637362636,122.27857142857144,16,1
691,2.109032258064516,122.04032258064515,122.25806451612904,122.21290322580644,122.23709677419356,12,1
692,2.109120879120879,122.13186813186812,122.30714285714286,122.26703296703296,122.27967032967032,16,1
693,2.063791208791209,121.45054945054945,121.6010989010989,121.59285714285711,121.58406593406592,8,1
694,2.109354838709677,122.01129032258063,122.28387096774196,122.21451612903226,122.23709677419356,12,1
695,2.1096153846153847,122.07857142857142,122.310989010989,122.27252747252749,122.27912087912088,16,1
